playerID,yearID,stint,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1950.0,BBWAA,168.0,126.0,6.0,N,Player,
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1951.0,BBWAA,226.0,170.0,12.0,N,Player,
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1952.0,BBWAA,234.0,176.0,9.0,N,Player,
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1953.0,BBWAA,264.0,198.0,17.0,N,Player,
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1954.0,BBWAA,252.0,189.0,13.0,N,Player,
adamsba01,19.0,19.0,194.0,140.0,482.0,355.0,206.0,44.0,15.0,8986.0,2841.0,917.0,68.0,430.0,1036.0,0.24871310011555836,2.7552860004451367,47.199999999999996,26.0,47.0,2.0,11947.0,89.0,1129.0,0.0,0.0,0.0,1955.0,BBWAA,251.0,189.0,24.0,N,Player,
adamsbo01,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,10.0,5.0,1.0,3.0,1.0,0.4065040650406504,7.941176470588235,0.3999999999999999,0.0,0.0,0.0,28.0,2.0,5.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsbo02,2.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,36.0,21.0,7.0,0.0,3.0,5.0,0.3736654804270462,5.25,0.7999999999999998,0.0,0.0,0.0,60.0,3.0,11.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsbo03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.0,BBWAA,302.0,227.0,1.0,N,Player,
adamsda01,2.0,2.0,4.0,11.0,47.0,16.0,6.0,0.0,3.0,513.0,182.0,71.0,5.0,65.0,54.0,0.3651685393258427,3.736842105263158,4.6,8.0,8.0,0.0,576.0,24.0,87.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsjo01,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,0.0,2.0,0.0,-1.956521739130435,9.0,1.5999999999999999,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsjo02,3.0,3.0,5.0,6.0,44.0,11.0,0.0,0.0,0.0,331.0,121.0,60.0,19.0,37.0,77.0,0.2762557077625571,4.8942598187311175,0.0,0.0,9.0,1.0,484.0,4.0,66.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamska01,2.0,2.0,1.0,9.0,30.0,12.0,3.0,0.0,0.0,345.0,119.0,64.0,5.0,48.0,62.0,0.2645620275678079,5.0086956521739125,3.1999999999999997,4.0,2.0,0.0,503.0,14.0,72.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsmi01,3.0,3.0,0.0,4.0,11.0,4.0,0.0,0.0,0.0,76.0,28.0,21.0,3.0,22.0,14.0,0.2857142857142857,7.4605263157894735,2.0,2.0,0.0,1.0,122.0,2.0,22.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsmi03,11.0,11.0,21.0,20.0,408.0,0.0,0.0,0.0,4.0,1222.0,316.0,109.0,33.0,126.0,409.0,0.21208053691275167,2.4083469721767594,12.0,7.0,6.0,0.0,1653.0,60.0,122.0,13.0,6.0,2.0,,,0.0,,0.0,N,Player,
adamsre01,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,36.0,18.0,11.0,1.0,7.0,8.0,0.3488372093023256,8.25,0.3999999999999999,0.0,0.0,0.0,59.0,4.0,12.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsri01,1.0,1.0,2.0,5.0,11.0,6.0,3.0,1.0,0.0,188.0,63.0,25.0,1.0,24.0,25.0,-1.6935483870967745,3.5904255319148937,5.199999999999999,0.0,7.999999999999999,0.0,0.0,5.0,30.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamssp01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.0,BBWAA,266.0,200.0,1.0,N,Player,
adamssp01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,BBWAA,269.0,202.0,1.0,N,Player,
adamste01,12.0,12.0,51.0,62.0,574.0,41.0,0.0,0.0,42.0,2608.0,890.0,403.0,63.0,380.0,691.0,0.2667865707434053,4.172162576687117,33.0,54.0,17.0,6.0,3801.0,201.0,448.0,26.0,9.0,0.0,,,0.0,,0.0,N,Player,
adamswi01,5.0,5.0,8.0,16.0,65.0,21.0,8.0,0.0,2.0,853.0,303.0,138.0,8.0,144.0,74.0,0.2853107344632768,4.368112543962486,13.0,8.0,19.0,0.0,1238.0,30.0,172.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamswi02,2.0,2.0,6.0,9.0,25.0,24.0,1.0,1.0,0.0,404.0,149.0,87.0,20.0,55.0,105.0,0.27490774907749077,5.814356435643564,5.0,4.0,9.0,0.0,611.0,0.0,92.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adcocna01,4.0,4.0,2.0,6.0,56.0,5.0,0.0,0.0,1.0,369.0,126.0,57.0,14.0,56.0,80.0,0.27155172413793105,4.170731707317073,5.0,6.0,7.0,1.0,541.0,14.0,64.0,5.0,4.0,3.0,,,0.0,,0.0,N,Player,
adenhni01,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,54.0,25.0,12.0,0.0,16.0,9.0,0.33783783783783783,6.0,0.0,3.0,0.0,0.0,90.0,0.0,12.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adkinde01,3.0,3.0,2.0,4.0,38.0,6.0,1.0,0.0,0.0,297.0,114.0,62.0,10.0,50.0,47.0,0.2851425712856428,5.636363636363637,1.1999999999999997,3.0,0.0,0.0,451.0,19.0,69.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adkindo01,2.0,2.0,1.0,1.0,6.0,3.0,1.0,0.0,1.0,81.0,40.0,15.0,2.0,12.0,3.0,1.8181818181818181,5.0,1.9999999999999998,0.0,1.0,0.0,37.0,3.0,28.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adkingr01,2.0,2.0,12.0,27.0,67.0,42.0,19.0,0.0,1.0,1089.0,403.0,175.0,24.0,156.0,78.0,0.2765577820477628,4.338842975206611,5.799999999999999,4.0,7.0,0.0,1626.0,18.0,211.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adkinjo01,6.0,6.0,5.0,5.0,119.0,0.0,0.0,0.0,0.0,416.0,155.0,70.0,18.0,54.0,81.0,0.29636711281070743,4.543269230769231,10.0,1.0,5.0,0.0,605.0,40.0,75.0,9.0,4.0,0.0,,,0.0,,0.0,N,Player,
adkinst01,1.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,72.0,19.0,17.0,4.0,29.0,14.0,0.22093023255813954,6.375,0.0,2.0,0.0,0.0,115.0,0.0,18.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
affelje01,15.0,15.0,43.0,46.0,774.0,42.0,0.0,0.0,28.0,2778.0,904.0,408.0,76.0,396.0,720.0,0.2591743119266055,3.965442764578834,41.0,55.0,42.0,9.0,4034.0,162.0,455.0,42.0,25.0,6.0,,,0.0,,0.0,N,Player,
ageeto01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979.0,BBWAA,432.0,324.0,0.0,N,Player,
agostju01,15.0,15.0,40.0,33.0,543.0,2.0,0.0,0.0,29.0,1879.0,639.0,279.0,30.0,248.0,307.0,0.2675879396984925,4.0090473656200105,47.0,21.0,30.0,7.0,2713.0,198.0,313.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
aguilri01,19.0,19.0,86.0,81.0,732.0,89.0,10.0,0.0,318.0,3874.0,1233.0,512.0,138.0,351.0,1030.0,0.2485386010884902,3.568404749612803,42.0,53.0,36.0,10.0,5391.0,557.0,568.0,1.0,0.0,0.0,2006.0,BBWAA,520.0,390.0,3.0,N,Player,
aguirha01,16.0,16.0,75.0,72.0,447.0,149.0,44.0,9.0,33.0,4127.0,1216.0,496.0,123.0,479.0,856.0,0.23254924459743737,3.2449721347225586,35.0,35.0,47.0,9.0,5790.0,124.0,562.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
ahearpa01,1.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,30.0,20.0,13.0,2.0,5.0,4.0,0.40816326530612246,11.7,1.0,1.0,0.0,0.0,55.0,0.0,13.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
ainsmed01,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.7692307692307692,54.0,0.3999999999999999,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
ainswku01,5.0,5.0,6.0,8.0,29.0,22.0,0.0,0.0,0.0,380.0,136.0,73.0,16.0,61.0,90.0,0.27755102040816326,5.186842105263158,0.0,7.0,8.0,0.0,569.0,4.0,78.0,6.0,4.0,0.0,,,0.0,,0.0,N,Player,
aitchra01,3.0,3.0,12.0,12.0,34.0,22.0,10.0,3.0,0.0,619.0,193.0,69.0,7.0,67.0,101.0,0.24295065458207452,3.009693053311793,6.6,9.0,5.0,0.0,873.0,8.0,98.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
akerfda01,5.0,5.0,9.0,10.0,125.0,13.0,1.0,0.0,3.0,701.0,216.0,132.0,36.0,127.0,129.0,0.24242424242424243,5.084165477888731,16.0,21.0,13.0,1.0,1047.0,33.0,146.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
akerja01,14.0,14.0,47.0,45.0,495.0,0.0,0.0,0.0,123.0,2238.0,679.0,272.0,64.0,274.0,404.0,0.24583635047067343,3.2815013404825737,68.0,13.0,40.0,0.0,3144.0,321.0,312.0,0.0,0.0,0.0,1980.0,BBWAA,385.0,289.0,0.0,N,Player,
akersje01,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,61.0,24.0,11.0,1.0,15.0,11.0,0.31088082901554404,4.868852459016394,2.8,0.0,2.0,0.0,97.0,3.0,17.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
albagi01,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,2.0,3.0,0.08333333333333333,2.7,0.0,0.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
